# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = PDB_01_model
# start_datetime = 2023-03-29 00:39:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.data.json
# init = 2 (Default)
# random
#   seed = 2
# output
#   file = /mnt/home/cmodi/Research/Projects/posteriordb/compiled_models/PDB_01/PDB_01.output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-32-g8fce5fb2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
-1466.98,1,0.388119,2,3,0,1472.23,87.7957,4.52856,0.579889,-0.300361,18.4359
-1468.39,0.973295,0.388119,3,7,0,1469.17,88.7398,5.78157,0.547268,-0.294562,18.332
-1470.79,0.880358,0.388119,3,7,0,1474.08,88.4578,8.43423,0.588226,-0.529878,17.3992
-1469.07,0.997413,0.388119,3,7,0,1471.72,87.4137,-0.629618,0.545272,-0.332265,18.0063
-1468.69,0.977023,0.388119,2,3,0,1470.27,87.683,0.26496,0.569018,-0.270731,17.9091
-1470.1,0.972628,0.388119,3,7,0,1471.01,87.7893,7.0718,0.552011,-0.689784,18.5039
-1468.09,1,0.388119,3,7,0,1472.04,87.2668,2.04811,0.569625,-0.20738,18.0065
-1466.73,0.995136,0.388119,3,15,0,1469.63,87.3462,1.95241,0.625016,-0.40171,18.4915
-1466.5,0.998985,0.388119,4,15,0,1467.34,87.1189,4.41994,0.547221,-0.455071,17.5853
-1469.07,0.906047,0.388119,3,7,0,1469.41,87.0932,5.78037,0.51395,-0.625054,17.4307
-1467.4,0.984287,0.388119,3,7,0,1470.42,87.9875,4.64344,0.536624,-0.610517,17.4906
-1468.13,0.978342,0.388119,3,7,0,1469.26,87.0906,3.28813,0.602783,-0.200956,18.619
-1467.02,0.982096,0.388119,3,15,0,1469.35,88.2651,0.85519,0.574143,-0.666288,17.4991
-1467.7,0.911447,0.388119,3,7,0,1470.74,88.6518,-0.0562133,0.611266,-0.538774,18.6281
-1468.41,0.971242,0.388119,3,15,0,1472.31,89.0452,-1.41644,0.609914,-0.665238,18.3208
-1467.92,0.992437,0.388119,3,7,0,1470.44,88.6095,-1.11152,0.596099,-0.561043,18.3509
-1468.16,0.964554,0.388119,3,15,0,1470.58,87.3539,-0.373006,0.661136,-0.361981,18.1359
-1470.47,0.923205,0.388119,3,7,0,1472.03,88.8323,3.49251,0.633816,-0.839809,18.8436
-1469.23,0.978197,0.388119,3,7,0,1473.74,89.584,2.27981,0.526649,-0.717616,17.9533
-1474.4,0.875723,0.388119,3,7,0,1478.02,91.0806,0.424594,0.607438,-0.792808,17.3239
-1468.85,0.977587,0.388119,3,7,0,1477.39,85.5702,1.42188,0.605215,-0.437863,18.0945
-1467.1,0.998948,0.388119,3,7,0,1470.17,87.1351,3.74353,0.53392,-0.402066,18.6711
-1469.18,0.946964,0.388119,3,7,0,1471.11,86.1675,0.285332,0.662445,-0.485496,17.2869
-1468.69,0.984822,0.388119,4,15,0,1471.38,87.458,4.54178,0.502616,-0.627461,18.8065
-1467.07,0.99931,0.388119,3,7,0,1469.54,87.5246,2.18736,0.646497,-0.352778,18.3762
-1469.55,0.917979,0.388119,2,3,0,1469.71,87.5957,2.15176,0.698543,-0.255121,18.6604
-1467.9,0.98455,0.388119,3,15,0,1471.95,87.5043,6.17961,0.606301,-0.561779,17.7581
-1468.04,0.997431,0.388119,3,7,0,1468.92,87.4153,0.0414674,0.572674,-0.353634,18.4594
-1467.52,0.996221,0.388119,3,7,0,1468.69,87.6881,0.328099,0.599643,-0.34665,18.1683
-1468.74,0.983286,0.388119,4,15,0,1469.98,87.1053,0.892795,0.628703,-0.256336,17.3604
-1470.28,0.953157,0.388119,2,3,0,1471.05,86.6433,1.52589,0.651943,-0.207537,17.0627
-1470.28,0.994944,0.388119,3,15,0,1473.89,86.0515,6.0452,0.528773,-0.387114,19.3161
-1472.09,0.977781,0.388119,3,7,0,1473.33,89.3486,-0.764468,0.649949,-0.66785,16.5107
-1467.4,1,0.388119,3,7,0,1473.34,87.3642,0.696967,0.631916,-0.701963,18.3645
-1467.47,0.998005,0.388119,3,7,0,1467.79,87.3672,1.1657,0.626376,-0.724936,18.2581
-1467.38,0.970788,0.388119,3,15,0,1471.61,87.583,3.20376,0.505937,-0.620992,17.9281
-1468.13,0.991328,0.388119,3,7,0,1468.51,87.5932,2.49399,0.679557,-0.327658,17.4492
-1468.34,0.996994,0.388119,3,15,0,1470.32,88.1124,1.88411,0.683694,-0.396328,17.2972
-1468.26,0.974894,0.388119,4,15,0,1471.07,87.3487,0.535098,0.587788,-0.66821,19.0012
-1470.51,0.958702,0.388119,3,7,0,1472.22,89.4366,-0.518176,0.523233,-0.719993,18.8338
-1467.43,0.989984,0.388119,3,7,0,1472.76,87.5177,2.91973,0.565589,-0.714588,17.7446
-1466.38,0.976436,0.388119,2,7,0,1470.19,87.434,5.30584,0.569587,-0.423129,18.0173
-1468.68,0.931233,0.388119,3,7,0,1470.1,85.9241,6.71895,0.563763,-0.367294,17.9085
-1466.83,0.962308,0.388119,3,15,0,1472.39,88.4978,0.404128,0.635228,-0.615893,17.8705
-1467.76,0.938135,0.388119,3,7,0,1469.51,87.2344,2.30052,0.520666,-0.640847,18.4851
-1468.22,0.995784,0.388119,3,7,0,1468.59,87.425,1.40304,0.517591,-0.647658,18.7121
-1467.25,0.972997,0.388119,3,15,0,1470.91,88.5734,4.40712,0.52324,-0.512851,18.2674
-1466.81,0.993537,0.388119,3,7,0,1468.25,86.9853,0.603893,0.592082,-0.586661,17.8469
-1466.97,0.992387,0.388119,3,15,0,1467.96,86.5881,1.60099,0.592969,-0.373996,17.9689
-1468.15,0.956601,0.388119,3,7,0,1470.15,86.8778,4.91447,0.648585,-0.337388,17.2711
-1467.19,0.993009,0.388119,4,15,0,1470.06,87.5283,2.26098,0.549898,-0.693897,18.0818
-1468.42,0.955923,0.388119,3,7,0,1470.06,88.725,5.53433,0.593166,-0.519887,18.8101
-1467.79,0.993188,0.388119,3,15,0,1470.05,86.5216,3.51011,0.5053,-0.315742,17.8537
-1469.67,0.970927,0.388119,3,7,0,1471.18,87.4167,5.02504,0.446768,-0.378495,18.9465
-1468.83,1,0.388119,3,15,0,1471.35,88.4917,1.76623,0.705788,-0.569206,17.3082
-1467.59,0.979934,0.388119,3,7,0,1470.95,87.7248,1.92206,0.513952,-0.632466,18.4533
-1469.13,0.960213,0.388119,3,7,0,1470.96,87.3221,0.0514708,0.67702,-0.372378,17.1389
-1468.08,1,0.388119,3,7,0,1469.98,87.05,2.61259,0.687009,-0.416508,17.3664
-1469.33,0.972086,0.388119,3,7,0,1470.89,85.9973,0.92781,0.644283,-0.477318,17.1571
-1466.47,0.999959,0.388119,3,7,0,1470.3,87.2436,2.51586,0.556469,-0.58962,17.9237
-1466.47,0.997253,0.388119,3,15,0,1467.12,87.1366,2.36327,0.540218,-0.456887,18.0732
-1466.45,0.991515,0.388119,3,7,0,1467.22,87.3158,4.38058,0.597401,-0.347361,17.6111
-1466.73,0.953396,0.388119,3,7,0,1468.45,86.8498,3.64991,0.588596,-0.390062,17.3643
-1469.25,0.94073,0.388119,3,7,0,1469.6,87.4364,2.82842,0.63112,-0.31872,16.668
-1471.79,0.938752,0.388119,3,7,0,1473.69,87.3314,7.0738,0.639392,-0.390383,16.5442
-1471.21,0.966165,0.388119,2,3,0,1473.68,87.9577,7.49357,0.613095,-0.45293,16.703
-1468.22,0.981284,0.388119,3,7,0,1473.76,87.7743,1.31242,0.627404,-0.247594,18.1659
-1468.69,0.984361,0.388119,3,7,0,1470.91,88.7821,5.0926,0.618872,-0.273725,18.2161
-1467.42,1,0.388119,3,7,0,1469.65,87.6106,5.04366,0.495292,-0.510234,18.2542
-1466.83,0.914476,0.388119,3,7,0,1471.77,87.7248,4.16177,0.538854,-0.350005,18.435
-1468.57,0.886902,0.388119,3,7,0,1470.08,86.7927,6.55288,0.541701,-0.549844,18.4057
-1471.89,0.973238,0.388119,3,7,0,1472.98,89.3649,-2.62313,0.669102,-0.549815,17.1311
-1469.31,0.997214,0.388119,3,15,0,1474.76,86.1277,6.74397,0.58821,-0.379357,18.8494
-1469,0.998963,0.388119,4,15,0,1471.5,86.0469,2.55995,0.618742,-0.215457,17.4912
-1469.37,0.859152,0.388119,3,15,0,1476.15,88.8275,1.88179,0.612729,-0.824524,17.2308
-1468.28,1,0.388119,3,7,0,1471.1,87.7319,4.53182,0.536347,-0.210846,18.6612
-1466.9,0.9718,0.388119,4,15,0,1471.15,88.5108,0.345194,0.598533,-0.509674,17.9602
-1466.34,0.998306,0.388119,3,7,0,1467.42,87.6656,2.76087,0.633167,-0.503313,17.5427
-1469.29,0.923274,0.388119,3,7,0,1469.93,87.6357,2.1896,0.497938,-0.647888,16.9855
-1466.49,1,0.388119,3,7,0,1469.53,87.589,4.30442,0.611695,-0.35577,18.1936
-1466.63,0.985948,0.388119,3,7,0,1467.72,87.5145,2.21442,0.549565,-0.532198,17.3813
-1468.38,0.817913,0.388119,3,7,0,1472.29,87.2817,3.36187,0.676466,-0.43879,18.936
-1467.72,0.991958,0.388119,3,7,0,1470.07,88.965,1.92994,0.523046,-0.566296,18.0172
-1470.84,0.910649,0.388119,3,7,0,1472.5,85.9229,1.03248,0.7157,-0.588272,18.6152
-1469.66,0.995484,0.388119,4,15,0,1472.28,89.123,6.49138,0.488946,-0.404287,17.7354
-1468.37,0.98337,0.388119,3,7,0,1471.74,88.201,6.98681,0.492362,-0.439003,18.212
-1469.92,0.967131,0.388119,3,7,0,1470.95,89.4393,6.72306,0.533357,-0.370437,18.2424
-1467.12,0.999338,0.388119,3,7,0,1471.4,87.5058,0.359828,0.650644,-0.673637,18.0047
-1466.48,0.965312,0.388119,2,7,0,1470.03,87.7773,3.92282,0.570956,-0.603702,17.9318
-1468.62,0.852995,0.388119,2,3,0,1469.4,87.0313,4.91424,0.553613,-0.692452,17.8123
-1469.24,0.987005,0.388119,3,7,0,1469.89,88.187,2.05828,0.583718,-0.180534,18.2921
-1471.33,0.972941,0.388119,3,7,0,1474.02,88.5939,1.62667,0.553345,-0.160903,18.788
-1467.83,0.956039,0.388119,3,7,0,1475.39,88.0522,5.77184,0.48968,-0.467162,18.32
-1468.96,0.985696,0.388119,3,7,0,1470.32,86.8024,6.2898,0.554364,-0.206355,19.0042
-1468.21,0.980672,0.388119,3,15,0,1471.96,87.7691,5.53169,0.530709,-0.390558,16.9452
-1468.09,0.920073,0.388119,3,15,0,1472.84,87.2642,4.83846,0.658706,-0.243107,17.9656
-1473.46,0.887264,0.388119,3,7,0,1474.81,85.5483,0.205115,0.670047,-0.0868321,18.1172
-1470.8,0.996557,0.388119,3,7,0,1478.3,85.9624,-0.74906,0.619085,-0.238185,18.1573
-1467.78,0.994951,0.388119,3,7,0,1472.54,86.0529,4.29164,0.555396,-0.462,17.7663
-1468.12,0.960653,0.388119,3,15,0,1470.36,87.6014,6.41422,0.526928,-0.58019,17.7706
-1467.8,0.99853,0.388119,3,7,0,1469.69,88.0788,-1.24302,0.618299,-0.479973,17.7757
-1468.29,0.963754,0.388119,3,7,0,1470.3,87.3828,5.80617,0.585911,-0.598917,17.352
-1469.28,0.993343,0.388119,3,7,0,1470.85,87.4136,-0.316532,0.654076,-0.287923,17.4973
-1467.9,1,0.388119,3,7,0,1471.03,88.2041,5.17718,0.642388,-0.45225,17.3655
-1471.94,0.926902,0.388119,3,7,0,1473.51,87.6927,4.52594,0.501633,-0.406573,20.0691
-1477.82,0.901802,0.388119,3,7,0,1480.04,89.2499,3.72978,0.611482,-0.248277,20.8412
-1473.84,1,0.388119,3,7,0,1480.27,87.2588,1.92221,0.52021,-0.75275,16.2133
-1468.4,0.997539,0.388119,3,7,0,1474.95,88.5551,4.20952,0.619026,-0.29289,18.6561
-1469.56,0.918294,0.388119,3,7,0,1473.03,86.4953,1.04515,0.475081,-0.469113,18.2914
-1468.93,0.996963,0.388119,3,7,0,1470.55,87.2925,0.916843,0.480527,-0.449422,18.4772
-1468.78,0.994133,0.388119,4,15,0,1471.64,89.1998,2.65137,0.605692,-0.784355,18.3701
-1467.45,0.955907,0.388119,4,15,0,1471.98,87.7914,-0.34826,0.555852,-0.491487,17.7483
-1468.81,0.988615,0.388119,3,7,0,1469.8,87.4253,4.27404,0.592776,-0.5904,19.2848
-1469.77,0.968067,0.388119,3,7,0,1471.95,87.6838,3.97286,0.552847,-0.19267,16.8515
-1470.76,0.990277,0.388119,3,7,0,1473.61,86.1085,5.11937,0.677345,-0.325604,17.0356
-1471.39,0.975708,0.388119,3,7,0,1473.53,89.1959,1.01329,0.453638,-0.5218,18.7161
-1471.49,0.986902,0.388119,3,15,0,1475.44,88.2223,9.99812,0.600625,-0.376422,18.0198
-1467.56,0.993678,0.388119,3,7,0,1472.62,87.971,6.04442,0.584544,-0.371832,17.3191
-1473.62,0.859393,0.388119,3,7,0,1476.05,86.7296,4.68814,0.471863,-0.162263,16.4245
-1471.05,0.989107,0.388119,3,7,0,1477.25,87.2088,5.87031,0.451758,-0.264364,16.853
-1468.89,0.982481,0.388119,3,7,0,1473.95,88.6629,7.4595,0.54623,-0.345696,18.3821
-1468.35,0.989369,0.388119,3,7,0,1470.75,87.9684,3.56371,0.517218,-0.327765,18.931
-1470.06,0.977594,0.388119,3,15,0,1472.64,88.822,2.02897,0.643903,-0.848034,17.2547
-1468.47,0.999961,0.388119,3,7,0,1471.23,86.7296,2.5058,0.539362,-0.192384,18.0287
-1468.02,0.992325,0.388119,3,7,0,1470.24,88.5655,3.13613,0.61924,-0.755706,17.8146
-1468.17,0.999806,0.388119,3,7,0,1469.47,88.8256,0.31585,0.547635,-0.747669,17.854
-1466.93,0.998483,0.388119,3,7,0,1469.03,87.9837,2.85018,0.575153,-0.643034,18.5383
-1468.25,0.945657,0.388119,4,15,0,1470.43,86.4804,6.35985,0.59978,-0.425593,17.5029
-1467.95,0.994821,0.388119,4,15,0,1469.99,89.2551,2.35042,0.621894,-0.695647,17.9833
-1468.2,0.969152,0.388119,4,15,0,1471.02,86.0369,5.33338,0.562802,-0.255694,17.55
-1469.79,0.959909,0.388119,3,15,0,1472.23,89.2465,-2.46927,0.665833,-0.726023,18.4877
-1471.82,0.963717,0.388119,3,15,0,1473.34,88.7591,-1.91793,0.669794,-0.618273,19.6992
-1467.11,1,0.388119,3,7,0,1472.19,87.4934,2.53857,0.62854,-0.675424,17.6726
-1466.98,0.936478,0.388119,3,7,0,1472.29,87.7555,5.59985,0.516546,-0.372739,18.0566
-1467.07,0.969991,0.388119,3,7,0,1468.27,87.4156,3.03552,0.531257,-0.307323,18.1866
-1468.18,0.954194,0.388119,3,7,0,1470.05,88.2551,6.36428,0.61386,-0.373415,18.5598
-1467.11,0.971979,0.388119,4,15,0,1470.92,88.185,1.80454,0.633291,-0.695278,17.5922
-1468.88,0.889444,0.388119,3,11,0,1470.93,87.3434,5.70535,0.600267,-0.668119,17.5869
-1471.66,0.975136,0.388119,3,7,0,1473.95,89.7165,-2.96162,0.553638,-0.766283,18.3175
-1469.94,0.927441,0.388119,3,15,0,1478.19,89.1537,6.02203,0.564741,-0.456347,19.1336
-1471.19,0.980961,0.388119,4,15,0,1473.02,89.6683,-0.0428728,0.622607,-0.444508,19.1224
-1467.75,0.992995,0.388119,3,7,0,1472.7,87.408,1.1354,0.563544,-0.71679,18.5186
-1467.92,0.984245,0.388119,3,7,0,1469.66,88.4253,3.84444,0.679204,-0.499715,18.262
-1467.28,0.997935,0.388119,3,15,0,1468.96,88.7773,1.49708,0.659377,-0.547902,17.9375
-1466.41,0.988812,0.388119,3,7,0,1468.27,87.2976,1.23592,0.622151,-0.50478,18.2824
-1466.83,0.988784,0.388119,3,15,0,1467.52,87.9472,5.76092,0.544195,-0.385473,18.0987
-1466.59,0.969264,0.388119,4,15,0,1469.39,86.6479,2.27976,0.600563,-0.50389,17.9097
-1466.75,0.996911,0.388119,3,15,0,1467.21,88.3364,4.45146,0.537228,-0.438123,17.7444
-1469.04,0.91068,0.388119,3,7,0,1470.7,86.9204,-0.783064,0.516388,-0.533845,18.2726
-1469.56,0.991067,0.388119,3,7,0,1471.28,88.3684,1.97993,0.735566,-0.582538,17.5475
-1468.42,1,0.388119,4,15,0,1470.75,87.7188,-0.987524,0.528889,-0.656325,18.0759
-1466.1,0.984082,0.388119,3,7,0,1469.52,88.0129,3.06571,0.596696,-0.553953,18.1289
-1468.07,0.907297,0.388119,2,7,0,1468.62,88.2558,5.88811,0.629675,-0.562293,17.8964
-1468.02,0.986338,0.388119,3,7,0,1471.02,87.5768,-0.112937,0.559952,-0.696836,18.6282
-1468.84,0.934095,0.388119,3,7,0,1471.29,87.2069,-1.1687,0.534189,-0.602668,18.4797
-1468.51,0.981595,0.388119,3,7,0,1471.12,87.19,6.79682,0.609451,-0.485687,17.4085
-1467.33,0.982252,0.388119,3,7,0,1471.89,87.1427,1.15988,0.55519,-0.409579,18.5708
-1467.11,0.992308,0.388119,3,15,0,1469.69,87.4443,0.739335,0.588929,-0.49528,18.7142
-1468.83,0.956156,0.388119,4,15,0,1470.12,87.492,3.01539,0.726589,-0.489704,18.1926
-1468.5,0.999611,0.388119,4,15,0,1470.61,86.7032,3.97931,0.478611,-0.292752,17.6493
-1467.2,0.997426,0.388119,3,7,0,1469.9,86.3362,3.19809,0.610242,-0.449247,17.5725
-1469.02,0.866707,0.388119,4,15,0,1472.58,87.9632,4.17134,0.608879,-0.779756,17.585
-1468.78,0.997668,0.388119,3,7,0,1471.21,89.3013,2.32611,0.573556,-0.577471,17.0714
-1467.8,0.987634,0.388119,3,7,0,1470.32,86.0782,3.5512,0.623816,-0.434224,18.3518
-1471.15,0.953876,0.388119,3,7,0,1471.91,85.6198,4.01418,0.598826,-0.320183,19.545
-1469.49,0.97098,0.388119,4,15,0,1475.86,89.5454,3.1755,0.620185,-0.651637,18.9113
-1467.17,0.989375,0.388119,4,15,0,1472.18,86.7367,1.83299,0.586774,-0.328117,17.6206
-1467.54,0.992145,0.388119,3,7,0,1469.05,87.0918,4.21953,0.571543,-0.316771,17.0632
-1471.18,0.90231,0.388119,3,7,0,1472.93,88.8296,6.01442,0.45311,-0.621165,18.9186
-1469.59,0.964945,0.388119,3,7,0,1474.92,88.4445,4.94107,0.459709,-0.2748,18.2523
-1471.73,0.920371,0.388119,2,3,0,1472.18,88.8132,4.52916,0.435644,-0.230729,18.2811
-1469.17,1,0.388119,4,15,0,1472.45,89.2698,-0.637329,0.597662,-0.474185,17.7091
-1469.56,0.992876,0.388119,3,7,0,1471.71,86.2207,4.04119,0.634331,-0.609273,18.8093
-1468.91,1,0.388119,3,7,0,1470.63,86.492,3.84161,0.602801,-0.607982,18.9471
-1467.6,1,0.388119,3,7,0,1470.42,88.7259,0.143941,0.588687,-0.468635,17.801
-1468.33,0.985736,0.388119,3,7,0,1469.13,86.3896,4.31598,0.605209,-0.549846,18.7113
-1467.02,0.983652,0.388119,3,7,0,1469.75,86.7262,5.00393,0.58356,-0.480806,17.6496
-1467.23,0.990914,0.388119,3,7,0,1467.92,88.128,2.85118,0.566751,-0.353106,18.6191
-1466.55,1,0.388119,3,7,0,1467.59,87.7395,4.74883,0.541745,-0.520526,18.141
-1467.93,0.973362,0.388119,3,7,0,1468.38,87.9137,2.66361,0.583261,-0.386999,19.1121
-1468.95,0.942764,0.388119,3,7,0,1472.18,89.3371,6.12326,0.580424,-0.472324,18.1054
-1469.1,0.969585,0.388119,3,15,0,1472.49,86.2688,1.28723,0.695553,-0.479031,18.5782
-1466.88,0.99901,0.388119,3,7,0,1470.26,87.177,3.9156,0.556871,-0.32244,17.3813
-1468.79,0.945796,0.388119,3,7,0,1469.24,86.3396,5.98997,0.499646,-0.465297,17.5632
-1466.38,1,0.388119,3,7,0,1469.34,88.1109,3.87686,0.540181,-0.451576,17.8416
-1467.14,0.962724,0.388119,3,15,0,1468.31,87.9599,1.2833,0.675091,-0.528505,17.5698
-1466.94,0.975738,0.388119,3,7,0,1468.74,87.2536,2.12827,0.523436,-0.5678,18.0868
-1466.21,0.998786,0.388119,3,7,0,1467.37,87.4655,1.89386,0.593964,-0.508176,18.3638
-1466.36,0.988418,0.388119,3,15,0,1467.03,87.8685,2.36101,0.611774,-0.627508,18.1203
-1467.29,0.958073,0.388119,3,7,0,1468.87,87.262,4.91603,0.527428,-0.241469,17.977
-1467.03,0.96447,0.388119,3,7,0,1469.31,86.802,4.29136,0.632444,-0.473886,17.7211
-1467.61,0.994563,0.388119,3,7,0,1468.43,87.0216,4.35847,0.665714,-0.330472,17.9284
-1467.35,0.98811,0.388119,3,15,0,1469.1,86.6301,3.68998,0.639476,-0.301717,17.7992
-1468.51,0.94002,0.388119,3,7,0,1470.41,87.7589,3.65033,0.702609,-0.341831,17.9915
-1467.04,0.995182,0.388119,3,7,0,1469.89,87.486,1.26992,0.631451,-0.565962,17.2017
-1469.34,0.886541,0.388119,3,7,0,1471.97,87.698,-0.155801,0.519885,-0.487359,17.0571
-1467.97,0.960464,0.388119,3,7,0,1472.83,86.0853,5.35496,0.602358,-0.417922,18.1587
-1470.59,0.963055,0.388119,3,7,0,1472.05,87.6225,4.81208,0.584364,-0.214218,16.5341
-1471.65,0.927407,0.388119,3,7,0,1475.87,85.8338,0.330264,0.536007,-0.389754,16.89
-1471.84,0.994981,0.388119,4,15,0,1473.72,85.2798,1.11802,0.588501,-0.525302,16.988
-1470.06,1,0.388119,4,15,0,1473.59,85.307,2.33905,0.586721,-0.388399,17.3177
-1470.4,0.998865,0.388119,3,7,0,1471.71,85.4515,2.14357,0.608961,-0.332822,17.0943
-1467.76,1,0.388119,3,7,0,1471.52,88.5992,1.98434,0.656135,-0.561004,18.7402
-1466.39,0.986322,0.388119,3,7,0,1469.35,87.0404,3.16123,0.551345,-0.438584,18.2605
-1467.22,0.953143,0.388119,3,7,0,1468.93,87.8897,3.23718,0.657458,-0.398412,17.4611
